Label,Count
"گۆڕین بۆ عەلی کەی",12
"گۆڕین بۆ یونیکۆد",7
"پاشەکەوت Word",6
"سڕینەوەی بۆشایی",1
"کەتکردن",1


City,Count
"IQ",3
"نەناسراو",1


Device,Count
"mobile",0
"desktop",4
"tablet",0
